"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","TOT","AGRWTH","M","2016-12",1.390268,
"AUT","CPI","TOT","AGRWTH","M","2017-01",2.004008,
"AUT","CPI","TOT","AGRWTH","M","2017-02",2.202202,
"AUT","CPI","TOT","AGRWTH","M","2017-03",1.886792,
"AUT","CPI","TOT","AGRWTH","M","2017-04",2.085402,
"AUT","CPI","TOT","AGRWTH","M","2017-05",1.881188,
"AUT","CPI","TOT","AGRWTH","M","2017-06",1.879327,
"AUT","CPI","TOT","AGRWTH","M","2017-07",1.986097,
"AUT","CPI","TOT","AGRWTH","M","2017-08",2.089552,
"AUT","CPI","TOT","AGRWTH","M","2017-09",2.371542,
"AUT","CPI","TOT","AGRWTH","M","2017-10",2.167488,
"AUT","CPI","TOT","AGRWTH","M","2017-11",2.26378,
"AUT","CPI","TOT","AGRWTH","M","2017-12",2.15475,
"AUT","CPI","TOT","AGRWTH","M","2018-01",1.768173,
"AUT","CPI","TOT","AGRWTH","M","2018-02",1.762977,
"AUT","CPI","TOT","AGRWTH","M","2018-03",1.851852,
"AUT","CPI","TOT","AGRWTH","M","2018-04",1.848249,
"AUT","CPI","TOT","AGRWTH","M","2018-05",1.943635,
"AUT","CPI","TOT","AGRWTH","M","2018-06",2.038835,
"AUT","CPI","TOT","AGRWTH","M","2018-07",2.142162,
"AUT","CPI","TOT","AGRWTH","M","2018-08",2.241715,
"AUT","CPI","TOT","AGRWTH","M","2018-09",2.027027,
"AUT","CPI","TOT","AGRWTH","M","2018-10",2.217936,
"AUT","CPI","TOT","AGRWTH","M","2018-11",2.213667,
"AUT","CPI","TOT","AGRWTH","M","2018-12",1.917546,
"AUT","CPI","TOT","AGRWTH","M","2019-01",1.833977,
"AUT","CPI","TOT","AGRWTH","M","2019-02",1.539942,
"AUT","CPI","TOT","AGRWTH","M","2019-03",1.818182,
"AUT","CPI","TOT","AGRWTH","M","2019-04",1.719198,
"AUT","CPI","TOT","AGRWTH","M","2019-05",1.71592,
"AUT","CPI","TOT","AGRWTH","M","2019-06",1.617507,
"AUT","CPI","TOT","AGRWTH","M","2019-07",1.429933,
"AUT","CPI","TOT","AGRWTH","M","2019-08",1.525262,
"AUT","CPI","TOT","AGRWTH","M","2019-09",1.229896,
"AUT","CPI","TOT","AGRWTH","M","2019-10",1.132075,
"AUT","CPI","TOT","AGRWTH","M","2019-11",1.129943,
"AUT","CPI","TOT","AGRWTH","M","2019-12",1.693321,
"AUT","CPI","TOT","AGRWTH","M","2020-01",1.990521,
"AUT","CPI","TOT","AGRWTH","M","2020-02",2.093024,
"AUT","CPI","TOT","AGRWTH","M","2020-03",1.534364,
"AUT","CPI","TOT","AGRWTH","M","2020-04",1.439026,
"AUT","CPI","TOT","AGRWTH","M","2020-05",0.6407859,
"AUT","CPI","TOT","AGRWTH","M","2020-06",1.05283,
"AUT","CPI","TOT","AGRWTH","M","2020-07",1.636,
"AUT","CPI","TOT","AGRWTH","M","2020-08",1.337486,
"AUT","CPI","TOT","AGRWTH","M","2020-09",1.26821,
"AUT","CPI","TOT","AGRWTH","M","2020-10",1.281032,
"AUT","CPI","TOT","AGRWTH","M","2020-11",1.193116,
"AUT","CPI","TOT","AGRWTH","M","2020-12",1.138068,
"AUT","CPI","TOT","AGRWTH","M","2021-01",0.8040201,
"AUT","CPI","TOT","AGRWTH","M","2021-02",1.204819,
"AUT","CPI","TOT","AGRWTH","M","2021-03",2.002002,
"AUT","CPI","TOT","AGRWTH","M","2021-04",1.901902,
"AUT","CPI","TOT","AGRWTH","M","2021-05",2.819738,
"AUT","CPI","TOT","AGRWTH","M","2021-06",2.805611,
"AUT","CPI","TOT","AGRWTH","M","2021-07",2.9,
"AUT","CPI","TOT","AGRWTH","M","2021-08",3.206413,
"AUT","CPI","TOT","AGRWTH","M","2021-09",3.293413,
"AUT","CPI","TOT","AGRWTH","M","2021-10",3.685259,
"AUT","CPI","TOT","AGRWTH","M","2021-11",4.278607,
"AUT","CPI","TOT","AGRWTH","M","2021-12",4.253215,
"AUT","CPI","TOT","AGRWTH","M","2022-01",4.985045,
"BEL","CPI","TOT","AGRWTH","M","2016-12",2.029957,
"BEL","CPI","TOT","AGRWTH","M","2017-01",2.647898,
