"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","AGRWTH","Q","2016-Q3",1.296296,
"AUS","CPI","TOT","AGRWTH","Q","2016-Q4",1.476015,
"AUS","CPI","TOT","AGRWTH","Q","2017-Q1",2.125693,
"AUS","CPI","TOT","AGRWTH","Q","2017-Q2",1.933702,
"AUS","CPI","TOT","AGRWTH","Q","2017-Q3",1.828154,
"AUS","CPI","TOT","AGRWTH","Q","2017-Q4",1.909091,
"AUS","CPI","TOT","AGRWTH","Q","2018-Q1",1.900452,
"AUS","CPI","TOT","AGRWTH","Q","2018-Q2",2.077688,
"AUS","CPI","TOT","AGRWTH","Q","2018-Q3",1.885099,
"AUS","CPI","TOT","AGRWTH","Q","2018-Q4",1.784121,
"AUS","CPI","TOT","AGRWTH","Q","2019-Q1",1.332149,
"AUS","CPI","TOT","AGRWTH","Q","2019-Q2",1.59292,
"AUS","CPI","TOT","AGRWTH","Q","2019-Q3",1.674009,
"AUS","CPI","TOT","AGRWTH","Q","2019-Q4",1.840491,
"AUS","CPI","TOT","AGRWTH","Q","2020-Q1",2.191061,
"AUS","CPI","TOT","AGRWTH","Q","2020-Q2",-0.3484321,
"AUS","CPI","TOT","AGRWTH","Q","2020-Q3",0.6932409,
"AUS","CPI","TOT","AGRWTH","Q","2020-Q4",0.8605852,
"AUS","CPI","TOT","AGRWTH","Q","2021-Q1",1.114923,
"AUS","CPI","TOT","AGRWTH","Q","2021-Q2",3.846154,
"AUS","CPI","TOT","AGRWTH","Q","2021-Q3",3.012048,
"AUS","CPI","TOT","AGRWTH","Q","2021-Q4",3.498293,
"AUS","CPI","TOT","AGRWTH","Q","2022-Q1",5.089058,
"AUT","CPI","TOT","AGRWTH","Q","2016-Q3",0.6993007,
"AUT","CPI","TOT","AGRWTH","Q","2016-Q4",1.328021,
"AUT","CPI","TOT","AGRWTH","Q","2017-Q1",2.030626,
"AUT","CPI","TOT","AGRWTH","Q","2017-Q2",1.948481,
"AUT","CPI","TOT","AGRWTH","Q","2017-Q3",2.149471,
"AUT","CPI","TOT","AGRWTH","Q","2017-Q4",2.195282,
"AUT","CPI","TOT","AGRWTH","Q","2018-Q1",1.794454,
"AUT","CPI","TOT","AGRWTH","Q","2018-Q2",1.943635,
"AUT","CPI","TOT","AGRWTH","Q","2018-Q3",2.136614,
"AUT","CPI","TOT","AGRWTH","Q","2018-Q4",2.116063,
"AUT","CPI","TOT","AGRWTH","Q","2019-Q1",1.730769,
"AUT","CPI","TOT","AGRWTH","Q","2019-Q2",1.684144,
"AUT","CPI","TOT","AGRWTH","Q","2019-Q3",1.394612,
"AUT","CPI","TOT","AGRWTH","Q","2019-Q4",1.318681,
"AUT","CPI","TOT","AGRWTH","Q","2020-Q1",1.871677,
"AUT","CPI","TOT","AGRWTH","Q","2020-Q2",1.04397,
"AUT","CPI","TOT","AGRWTH","Q","2020-Q3",1.413601,
"AUT","CPI","TOT","AGRWTH","Q","2020-Q4",1.203881,
"AUT","CPI","TOT","AGRWTH","Q","2021-Q1",1.337793,
"AUT","CPI","TOT","AGRWTH","Q","2021-Q2",2.508361,
"AUT","CPI","TOT","AGRWTH","Q","2021-Q3",3.133333,
"AUT","CPI","TOT","AGRWTH","Q","2021-Q4",4.072848,
"AUT","CPI","TOT","AGRWTH","Q","2022-Q1",5.841584,
"BEL","CPI","TOT","AGRWTH","Q","2016-Q3",2.100646,
"BEL","CPI","TOT","AGRWTH","Q","2016-Q4",1.871368,
"BEL","CPI","TOT","AGRWTH","Q","2017-Q1",2.632353,
"BEL","CPI","TOT","AGRWTH","Q","2017-Q2",1.912498,
"BEL","CPI","TOT","AGRWTH","Q","2017-Q3",1.895934,
"BEL","CPI","TOT","AGRWTH","Q","2017-Q4",2.069032,
"BEL","CPI","TOT","AGRWTH","Q","2018-Q1",1.526158,
"BEL","CPI","TOT","AGRWTH","Q","2018-Q2",1.806751,
"BEL","CPI","TOT","AGRWTH","Q","2018-Q3",2.253709,
"BEL","CPI","TOT","AGRWTH","Q","2018-Q4",2.620694,
"BEL","CPI","TOT","AGRWTH","Q","2019-Q1",2.162247,
"BEL","CPI","TOT","AGRWTH","Q","2019-Q2",1.899445,
"BEL","CPI","TOT","AGRWTH","Q","2019-Q3",1.162466,
"BEL","CPI","TOT","AGRWTH","Q","2019-Q4",0.5415218,
"BEL","CPI","TOT","AGRWTH","Q","2020-Q1",1.041347,
"BEL","CPI","TOT","AGRWTH","Q","2020-Q2",0.5478865,
"BEL","CPI","TOT","AGRWTH","Q","2020-Q3",0.8181651,
"BEL","CPI","TOT","AGRWTH","Q","2020-Q4",0.5569667,
"BEL","CPI","TOT","AGRWTH","Q","2021-Q1",0.5350683,
"BEL","CPI","TOT","AGRWTH","Q","2021-Q2",1.439878,
"BEL","CPI","TOT","AGRWTH","Q","2021-Q3",2.619981,
"BEL","CPI","TOT","AGRWTH","Q","2021-Q4",5.167534,
"BEL","CPI","TOT","AGRWTH","Q","2022-Q1",7.980284,
"CAN","CPI","TOT","AGRWTH","Q","2016-Q3",1.231333,
"CAN","CPI","TOT","AGRWTH","Q","2016-Q4",1.391807,
"CAN","CPI","TOT","AGRWTH","Q","2017-Q1",1.911996,
"CAN","CPI","TOT","AGRWTH","Q","2017-Q2",1.320559,
