"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.494029045,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.602121187,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.962440835,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.671283479,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",1.482113673,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",-0.265752327,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.148518541,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.633608551,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.688281747,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.822000181,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.199687643,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.046022679,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.405037445,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.288454855,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.261506728,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.150738208,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.233424391,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.142221229,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.740407308,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.770711605,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.311163633,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.222247457,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.732000112,"P"
"AUS","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.138034077,
"AUS","QGDP","TOT","PC_CHGPP","Q","2016-Q4",1.016571269,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.246810353,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.714474729,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.9622701,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.389941873,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.871213457,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.948803664,
