"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SHPRICE","TOT","IDX2015","M","2016-10",98.73435,
"AUS","SHPRICE","TOT","IDX2015","M","2016-11",97.31811,
"AUS","SHPRICE","TOT","IDX2015","M","2016-12",101.3498,
"AUS","SHPRICE","TOT","IDX2015","M","2017-01",103.9004,
"AUS","SHPRICE","TOT","IDX2015","M","2017-02",104.2281,
"AUS","SHPRICE","TOT","IDX2015","M","2017-03",105.1043,
"AUS","SHPRICE","TOT","IDX2015","M","2017-04",107.0456,
"AUS","SHPRICE","TOT","IDX2015","M","2017-05",105.8738,
"AUS","SHPRICE","TOT","IDX2015","M","2017-06",104.4181,
"AUS","SHPRICE","TOT","IDX2015","M","2017-07",104.3709,
"AUS","SHPRICE","TOT","IDX2015","M","2017-08",104.4717,
"AUS","SHPRICE","TOT","IDX2015","M","2017-09",103.7574,
"AUS","SHPRICE","TOT","IDX2015","M","2017-10",105.9961,
"AUS","SHPRICE","TOT","IDX2015","M","2017-11",108.8582,
"AUS","SHPRICE","TOT","IDX2015","M","2017-12",109.7494,
"AUS","SHPRICE","TOT","IDX2015","M","2018-01",110.3326,
"AUS","SHPRICE","TOT","IDX2015","M","2018-02",108.2396,
"AUS","SHPRICE","TOT","IDX2015","M","2018-03",107.4866,
"AUS","SHPRICE","TOT","IDX2015","M","2018-04",106.5189,
"AUS","SHPRICE","TOT","IDX2015","M","2018-05",110.4375,
"AUS","SHPRICE","TOT","IDX2015","M","2018-06",111.1684,
"AUS","SHPRICE","TOT","IDX2015","M","2018-07",113.7427,
"AUS","SHPRICE","TOT","IDX2015","M","2018-08",114.5102,
"AUS","SHPRICE","TOT","IDX2015","M","2018-09",112.6868,
"AUS","SHPRICE","TOT","IDX2015","M","2018-10",108.1136,
"AUS","SHPRICE","TOT","IDX2015","M","2018-11",105.1629,
"AUS","SHPRICE","TOT","IDX2015","M","2018-12",102.0617,
"AUS","SHPRICE","TOT","IDX2015","M","2019-01",105.4888,
"AUS","SHPRICE","TOT","IDX2015","M","2019-02",110.6188,
"AUS","SHPRICE","TOT","IDX2015","M","2019-03",112.5764,
"AUS","SHPRICE","TOT","IDX2015","M","2019-04",114.2022,
"AUS","SHPRICE","TOT","IDX2015","M","2019-05",116.0654,
"AUS","SHPRICE","TOT","IDX2015","M","2019-06",119.0778,
"AUS","SHPRICE","TOT","IDX2015","M","2019-07",122.3036,
"AUS","SHPRICE","TOT","IDX2015","M","2019-08",119.1399,
"AUS","SHPRICE","TOT","IDX2015","M","2019-09",121.3623,
"AUS","SHPRICE","TOT","IDX2015","M","2019-10",121.0252,
"AUS","SHPRICE","TOT","IDX2015","M","2019-11",122.8383,
"AUS","SHPRICE","TOT","IDX2015","M","2019-12",123.2157,
"AUS","SHPRICE","TOT","IDX2015","M","2020-01",126.5437,
"AUS","SHPRICE","TOT","IDX2015","M","2020-02",127.1267,
"AUS","SHPRICE","TOT","IDX2015","M","2020-03",98.79449,
"AUS","SHPRICE","TOT","IDX2015","M","2020-04",96.87128,
"AUS","SHPRICE","TOT","IDX2015","M","2020-05",100.1817,
"AUS","SHPRICE","TOT","IDX2015","M","2020-06",108.0161,
"AUS","SHPRICE","TOT","IDX2015","M","2020-07",109.4515,
"AUS","SHPRICE","TOT","IDX2015","M","2020-08",110.8687,
"AUS","SHPRICE","TOT","IDX2015","M","2020-09",107.7882,
"AUS","SHPRICE","TOT","IDX2015","M","2020-10",110.7327,
"AUS","SHPRICE","TOT","IDX2015","M","2020-11",116.6687,
"AUS","SHPRICE","TOT","IDX2015","M","2020-12",121.2146,
"AUS","SHPRICE","TOT","IDX2015","M","2021-01",122.2562,
"AUS","SHPRICE","TOT","IDX2015","M","2021-02",124.106,
"AUS","SHPRICE","TOT","IDX2015","M","2021-03",123.1871,
"AUS","SHPRICE","TOT","IDX2015","M","2021-04",127.3157,
"AUS","SHPRICE","TOT","IDX2015","M","2021-05",128.6689,
"AUS","SHPRICE","TOT","IDX2015","M","2021-06",132.8794,
