"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SHPRICE","TOT","IDX2015","Q","2016-Q4",99.1341,
"AUS","SHPRICE","TOT","IDX2015","Q","2017-Q1",104.4109,
"AUS","SHPRICE","TOT","IDX2015","Q","2017-Q2",105.7792,
"AUS","SHPRICE","TOT","IDX2015","Q","2017-Q3",104.2,
"AUS","SHPRICE","TOT","IDX2015","Q","2017-Q4",108.2012,
"AUS","SHPRICE","TOT","IDX2015","Q","2018-Q1",108.6863,
"AUS","SHPRICE","TOT","IDX2015","Q","2018-Q2",109.3749,
"AUS","SHPRICE","TOT","IDX2015","Q","2018-Q3",113.6466,
"AUS","SHPRICE","TOT","IDX2015","Q","2018-Q4",105.1127,
"AUS","SHPRICE","TOT","IDX2015","Q","2019-Q1",109.5613,
"AUS","SHPRICE","TOT","IDX2015","Q","2019-Q2",116.4485,
"AUS","SHPRICE","TOT","IDX2015","Q","2019-Q3",120.9353,
"AUS","SHPRICE","TOT","IDX2015","Q","2019-Q4",122.3597,
"AUS","SHPRICE","TOT","IDX2015","Q","2020-Q1",117.4883,
"AUS","SHPRICE","TOT","IDX2015","Q","2020-Q2",101.6897,
"AUS","SHPRICE","TOT","IDX2015","Q","2020-Q3",109.3695,
"AUS","SHPRICE","TOT","IDX2015","Q","2020-Q4",116.2053,
"AUS","SHPRICE","TOT","IDX2015","Q","2021-Q1",123.1831,
"AUS","SHPRICE","TOT","IDX2015","Q","2021-Q2",129.6213,
"AUS","SHPRICE","TOT","IDX2015","Q","2021-Q3",135.0823,
"AUS","SHPRICE","TOT","IDX2015","Q","2021-Q4",134.0138,
"AUS","SHPRICE","TOT","IDX2015","Q","2022-Q1",131.62,
"AUT","SHPRICE","TOT","IDX2015","Q","2016-Q4",105.1413,
"AUT","SHPRICE","TOT","IDX2015","Q","2017-Q1",116.4869,
"AUT","SHPRICE","TOT","IDX2015","Q","2017-Q2",127.695,
"AUT","SHPRICE","TOT","IDX2015","Q","2017-Q3",134.6449,
"AUT","SHPRICE","TOT","IDX2015","Q","2017-Q4",140.2761,
"AUT","SHPRICE","TOT","IDX2015","Q","2018-Q1",145.0345,
"AUT","SHPRICE","TOT","IDX2015","Q","2018-Q2",142.2679,
"AUT","SHPRICE","TOT","IDX2015","Q","2018-Q3",140.0825,
"AUT","SHPRICE","TOT","IDX2015","Q","2018-Q4",130.3532,
