"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SHPRICE","TOT","IDX2015","A","2017",105.6478,
"AUS","SHPRICE","TOT","IDX2015","A","2018",109.2051,
"AUS","SHPRICE","TOT","IDX2015","A","2019",117.3262,
"AUS","SHPRICE","TOT","IDX2015","A","2020",111.1882,
"AUS","SHPRICE","TOT","IDX2015","A","2021",130.4751,
"AUT","SHPRICE","TOT","IDX2015","A","2017",129.7757,
"AUT","SHPRICE","TOT","IDX2015","A","2018",139.4346,
"AUT","SHPRICE","TOT","IDX2015","A","2019",130.051,
"AUT","SHPRICE","TOT","IDX2015","A","2020",106.1938,
"AUT","SHPRICE","TOT","IDX2015","A","2021",145.9151,
"BEL","SHPRICE","TOT","IDX2015","A","2017",101.5136,
"BEL","SHPRICE","TOT","IDX2015","A","2018",96.55154,
"BEL","SHPRICE","TOT","IDX2015","A","2019",92.68472,
"BEL","SHPRICE","TOT","IDX2015","A","2020",77.87579,
"BEL","SHPRICE","TOT","IDX2015","A","2021",91.67892,
"CAN","SHPRICE","TOT","IDX2015","A","2017",108.4319,
"CAN","SHPRICE","TOT","IDX2015","A","2018",109.7048,
"CAN","SHPRICE","TOT","IDX2015","A","2019",113.8164,
"CAN","SHPRICE","TOT","IDX2015","A","2020",111.7975,
"CAN","SHPRICE","TOT","IDX2015","A","2021",138.1638,
"CZE","SHPRICE","TOT","IDX2015","A","2017",101.1606,
"CZE","SHPRICE","TOT","IDX2015","A","2018",109.1298,
"CZE","SHPRICE","TOT","IDX2015","A","2019",105.9594,
"CZE","SHPRICE","TOT","IDX2015","A","2020",93.47337,
"CZE","SHPRICE","TOT","IDX2015","A","2021",120.6906,
"DNK","SHPRICE","TOT","IDX2015","A","2017",108.7862,
"DNK","SHPRICE","TOT","IDX2015","A","2018",111.2655,
"DNK","SHPRICE","TOT","IDX2015","A","2019",115.5436,
"DNK","SHPRICE","TOT","IDX2015","A","2020",137.9611,
"DNK","SHPRICE","TOT","IDX2015","A","2021",181.6949,
"FIN","SHPRICE","TOT","IDX2015","A","2017",111.2151,
"FIN","SHPRICE","TOT","IDX2015","A","2018",115.0509,
"FIN","SHPRICE","TOT","IDX2015","A","2019",111.2337,
"FIN","SHPRICE","TOT","IDX2015","A","2020",113.0493,
"FIN","SHPRICE","TOT","IDX2015","A","2021",144.3232,
"FRA","SHPRICE","TOT","IDX2015","A","2017",108.9429,
"FRA","SHPRICE","TOT","IDX2015","A","2018",111.7813,
"FRA","SHPRICE","TOT","IDX2015","A","2019",113.6876,
"FRA","SHPRICE","TOT","IDX2015","A","2020",105.6329,
"FRA","SHPRICE","TOT","IDX2015","A","2021",132.6788,
